date,btc_close,btc_volume,btc_return_pct,btc_volatility_30d,btc_sma_50,btc_sma_200,fear_greed_value,fear_greed_classification,coinbase_reviews_count,coinbase_avg_rating,coinbase_sentiment_score,is_weekend
2014-09-17,457.3340148925781,21056800,0.0,,,,,,0,,,0
2014-09-18,424.44000244140625,34483200,-7.1925576012311865,,,,,,0,,,0
2014-09-19,394.7959899902344,37919700,-6.9842645086838235,,,,,,0,,,0
2014-09-20,408.90399169921875,36863600,3.5734916429453367,,,,,,0,,,1
2014-09-21,398.8210144042969,26580100,-2.465854454739269,,,,,,0,,,1
2014-09-22,402.1520080566406,24127600,0.8352101649706567,,,,,,0,,,0
2014-09-23,435.7909851074219,45099500,8.364741783421215,,,,,,0,,,0
2014-09-24,423.2049865722656,30627700,-2.8880814347395978,,,,,,0,,,0
2014-09-25,411.5740051269531,26814400,-2.7483091679796234,,,,,,0,,,0
2014-09-26,404.42498779296875,21460800,-1.7369943788794973,,,,,,0,,,0
2014-09-27,399.5199890136719,15029300,-1.2128327693262664,,,,,,0,,,1
2014-09-28,377.1809997558594,23613300,-5.591457216687113,,,,,,0,,,1
2014-09-29,375.4670104980469,32497700,-0.454420890480145,,,,,,0,,,0
2014-09-30,386.9440002441406,34707300,3.0567238732558177,,,,,,0,,,0
2014-10-01,383.614990234375,26229400,-0.8603337970520819,,,,,,0,,,0
2014-10-02,375.0719909667969,21777700,-2.22697222086099,,,,,,0,,,0
2014-10-03,359.5119934082031,30901200,-4.148536263261304,,,,,,0,,,0
2014-10-04,328.8659973144531,47236500,-8.524332054467354,,,,,,0,,,1
2014-10-05,320.510009765625,83308096,-2.5408487399317115,,,,,,0,,,1
2014-10-06,330.0790100097656,79011800,2.985554258083245,,,,,,0,,,0
2014-10-07,336.18701171875,49199900,1.8504665621736027,,,,,,0,,,0
2014-10-08,352.94000244140625,54736300,4.983235561959076,,,,,,0,,,0
2014-10-09,365.0260009765625,83641104,3.424377642532228,,,,,,0,,,0
2014-10-10,361.56201171875,43665700,-0.9489705523839986,,,,,,0,,,0
2014-10-11,362.29901123046875,13345200,0.2038376510340001,,,,,,0,,,1
2014-10-12,378.54901123046875,17552800,4.485245473017008,,,,,,0,,,1
2014-10-13,390.41400146484375,35221400,3.134333965318792,,,,,,0,,,0
2014-10-14,400.8699951171875,38491500,2.6781810112118443,,,,,,0,,,0
2014-10-15,394.77301025390625,25267100,-1.5209381938149025,,,,,,0,,,0
2014-10-16,382.5559997558594,26990000,-3.0946924386216934,,,,,,0,,,0
2014-10-17,383.75799560546875,13600700,0.31420128043384565,3.9148067794868817,,,,,0,,,0
2014-10-18,391.4419860839844,11416800,2.002301076852442,3.7289750349828688,,,,,0,,,1
2014-10-19,389.5459899902344,5914570,-0.4843619645193642,3.5033134773463455,,,,,0,,,1
2014-10-20,382.8450012207031,16419000,-1.720204787552615,3.450810949644172,,,,,0,,,0
2014-10-21,386.4750061035156,14188900,0.9481656731152865,3.4284240752556054,,,,,0,,,0
2014-10-22,383.1579895019531,11641300,-0.858274545359361,3.4273244319042666,,,,,0,,,0
2014-10-23,358.4169921875,26456900,-6.457126822962156,3.226830677505309,,,,,0,,,0
2014-10-24,358.3450012207031,15585700,-0.02008581299606238,3.1990197731331924,,,,,0,,,0
2014-10-25,347.27099609375,18127500,-3.090319409850706,3.20789524527026,,,,,0,,,1
2014-10-26,354.7040100097656,11272500,2.140407347467921,3.2349252494823912,,,,,0,,,1
2014-10-27,352.989013671875,13033000,-0.48350069057392364,3.231227220836698,,,,,0,,,0
2014-10-28,357.6180114746094,7845880,1.3113716357861849,3.088518953148448,,,,,0,,,0
2014-10-29,335.59100341796875,18192700,-6.1593676352636795,3.2789126336835075,,,,,0,,,0
2014-10-30,345.30499267578125,30177900,2.894591678226255,3.2732827129810724,,,,,0,,,0
2014-10-31,338.3210144042969,12545400,-2.0225535163465924,3.2866740701185724,,,,,0,,,0
